"id","title","author","year"
"rec8WdUONYgfvw1zw","A Role for Hip Position Initiating the Swing to Stance Transition in Walking Cats","McVea","2005"
"recDT62aen4FMrVhd","Positive force feedback in bouncing gaits?","Geyer","2003"
"recHUhzNl3CEaF8pE","Leg coordination mechanisms in the stick inspect applied to hexapod robot locomotion","Espenschied","1993"
"recLQre1rXrmJOLU3","Recurrent inhibition from motor axon collaterals of transmission in the Ia inhibitory pathway to motoneurones","Hultborn","1971"
"recPoyqO9O9txmwm5","Speed dependency in a-motoneuron activity and locomotor modules in human locomotion: indirect evidence for phylogenetically conserved spinal circuits","Yokoyama","2017"
"recUQzJIupLCDV5g1","Five basic muscle activation patterns account for muscle activity during human locomotion","Ivanenko","2004"
"recdSXsgiaZQQGIQ5","Force feedback reinforces muscle synergies in insect legs","Sasha N. Zill","2015"
"recfiz9tzgn955QdA","Contribution of Hind Limb Flexor Muscle","Hiebert","1996"
"reclwbsReGhWM71WF","Bio-inspired controller achieving forward speed modulation with a 3D bipedal walkde","Van der Noot, Nicolas","2018"
"rectZLWJhnmJpn1le","Spinal Cord Pattern Generator for Locomotion","Dietz","2003"
"recxGoi3bAS1glsgD","Relative Contribution of Vestibular Sensory System to Locomotion: Opportunities for Discovery in the Age of Molecular Science","Akay","2021"
