"id","airtable_title","verdict","zotero_evidence"
"rec8WdUONYgfvw1zw","A Role for Hip Position Initiating the Swing to Stance Transition in Walking Cats (McVea 2005)","IN_BIOLOGY_word_order_differs","HBAEC9DM = clean copy (Nov 2005, 10.1152/jn.00511.2005); E2G75RYG + VKC5THEJ = scrambled-title duplicates ('Swing-to-Stance Transition in Walking Cats A Role for Hip Position in Initiating the', one with wrong year 2015)"
"recDT62aen4FMrVhd","Positive force feedback in bouncing gaits? (Geyer 2003)","IN_GROUP_but_NOT_in_Biology_subtree","INYJVQYV, 10.1098/rspb.2003.2454 - present in AARL group outside Biology"
"recHUhzNl3CEaF8pE","Leg coordination mechanisms in the stick inspect applied to hexapod robot locomotion (Espenschied 1993)","IN_BIOLOGY_airtable_typo_inspect->insect","HJUK3CTI, 10.1177/105971239300100404"
"recLQre1rXrmJOLU3","Recurrent inhibition from motor axon collaterals of transmission in the Ia inhibitory pathway to motoneurones (Hultborn 1971)","NOT_IN_ZOTERO","no 'recurrent inhibition' title hit anywhere in the 3739-item group"
"recPoyqO9O9txmwm5","Speed dependency in a-motoneuron activity... (Yokoyama 2017)","IN_BIOLOGY_alpha_char_mismatch","PUVMGVWH - Zotero title has alpha-motoneuron"
"recUQzJIupLCDV5g1","Five basic muscle activation patterns account for muscle activity during human locomotion (Ivanenko 2004)","IN_BIOLOGY_zotero_has_appended_subtitle","HQZAC8XN - Zotero title = '...: Basic muscle activation patterns' (subtitle duplicated)"
"recdSXsgiaZQQGIQ5","Force feedback reinforces muscle synergies in insect legs (Zill 2015)","NOT_IN_ZOTERO","no matching title anywhere in the group"
"recfiz9tzgn955QdA","Contribution of Hind Limb Flexor Muscle (Hiebert 1996)","IN_BIOLOGY_airtable_title_truncated","FIN3YLAZ, 10.1152/jn.1996.75.3.1126 - full title '...flexor muscle afferents to the timing of phase transitions in the cat step cycle'"
"reclwbsReGhWM71WF","Bio-inspired controller achieving forward speed modulation with a 3D bipedal walkde (Van der Noot 2018)","IN_BIOLOGY_airtable_typo_walkde->walker","BGU8UZJE, 10.1177/0278364917743320 (NCPB4GN4 = group-wide duplicate)"
"rectZLWJhnmJpn1le","Spinal Cord Pattern Generator for Locomotion (Dietz 2003)","NOT_IN_ZOTERO","no Dietz paper with this title in the group"
"recxGoi3bAS1glsgD","Relative Contribution of Vestibular Sensory System to Locomotion... (Akay 2021)","IN_BIOLOGY_airtable_dropped_words","JA7MEXI6 + YZSP4ZPD (2 copies) - Zotero title starts 'Relative Contribution of Proprioceptive and Vestibular...'"
